Method,Parameter,Initial,Fitted,Difference
Gaussian,s,0.8397371322408986,1.2596056983613477,0.4198685661204491
Gaussian,alpha,0.04930867849414408,0.07396301774121611,0.024654339247072027
Gaussian,beta1,0.003194306561430208,0.004791459842145311,0.0015971532807151027
Gaussian,beta2,0.00046092119425632103,0.0006913817913844814,0.00023046059712816038
Gaussian,rho2,0.019531693250553327,0.009765846625276665,0.009765846625276662
Gaussian,r,0.8789276738745738,1.3183915108118605,0.43946383693728663
Gaussian,v1,0.0023158425631014785,0.003473763844652217,0.0011579212815507386
Gaussian,v2,0.0001076743472915291,0.00016151152093729363,5.3837173645764535e-05
Gaussian,theta,0.47652628070325237,0.7147894210548784,0.23826314035162605
Gaussian,lambda,0.052712800217929824,0.07906920032665947,0.026356400108729645
Gaussian,sigma,0.0009536582307187538,0.0004768291153593781,0.0004768291153593757
Gaussian,phi,0.09534270246429744,0.04783505916354283,0.047507643300754604
Gaussian,phi0,0.5120981135783017,0.2836361306273984,0.2284619829509033
Gaussian,phi1,0.008086719755342203,0.006309365146611158,0.0017773546087310448
Gaussian,gamma,0.003310032866994787,0.0016550165930905283,0.0016550162739042585
Gaussian,pi,0.0018875424941518055,0.0010355692973343569,0.0008519731968174486
Gaussian,phi2,0.17974337759331152,0.25156147591468964,0.07181809832137812
Gaussian,gamma1,0.010314247332595275,0.015471370998825458,0.0051571236662301834
Gaussian,rho,0.009091975924478789,0.004545987962239395,0.004545987962239394
Gaussian,rho1,0.025763088895994123,0.038644633343991174,0.012881544447997051
Gaussian,omega,0.057328243844607774,0.033986367603203615,0.023341876241404158
Gaussian,omega1,0.09774223699513465,0.05734815385727918,0.040394083137855474
Uniform,s,0.3807947176588889,0.9999999999999999,0.6192052823411109
Uniform,alpha,0.08556921614625146,0.08999999999999998,0.004430783853748524
Uniform,beta1,0.21962498314924037,0.29999999999999993,0.08037501685075957
Uniform,beta2,0.024147010125782947,0.039999999999999994,0.015852989874217047
Uniform,rho2,0.09369558240141766,0.00010000000000000002,0.09359558240141766
Uniform,r,0.8349969287257276,0.9999999999999999,0.16500307127427227
Uniform,v1,0.011805105711206253,0.19999999999999998,0.18819489428879374
Uniform,v2,0.08662029105457802,0.09999999999999999,0.013379708945421967
Uniform,theta,0.6051038616257767,0.9999999999999999,0.3948961383742232
Uniform,lambda,0.7080725777960455,0.9999999999999999,0.2919274222039544
Uniform,sigma,0.0030378649352844423,0.0010000000000000002,0.0020378649352844422
Uniform,phi,0.8732197684241749,0.8999999999999999,0.026780231575824986
Uniform,phi0,0.7508739503123754,0.010000000000000002,0.7408739503123754
Uniform,phi1,0.10624832142807025,0.4999999966534813,0.3937516752254111
Uniform,gamma,0.07281180438611955,0.17367928912561184,0.1008674847394923
Uniform,pi,0.18340450985343382,0.9999999984085837,0.8165954885551499
Uniform,phi2,0.2877331738043932,0.8999999999999999,0.6122668261956067
Uniform,gamma1,0.026713065149979655,0.049999999999999996,0.02328693485002034
Uniform,rho,0.3512365647272715,0.24215816852627428,0.10907839620099721
Uniform,rho1,0.1463233409588229,0.09933946759428422,0.046983873364538686
Uniform,omega,0.30980791841396593,0.07569759082477603,0.2341103275891899
Uniform,omega1,0.11417660693967735,0.010275983872280332,0.10390062306739702
